Position,"Track Name",Artist,Streams,URL
83,"If It Ain't Love","Jason Derulo",329674,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
84,"Te Dirán","La Adictiva Banda San José de Mesillas",322923,https://open.spotify.com/track/5wMPGSMSAFgm9ESusgpqjk
85,"Hotline Bling",Drake,318420,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6
86,"Me Va A Pesar","La Arrolladora Banda El Limón De Rene Camacho",317741,https://open.spotify.com/track/2MN641SexYaEM1neDbHrWe
87,"Qué Caro Estoy Pagando","Los Plebes del Rancho de Ariel Camacho",316885,https://open.spotify.com/track/1JU9KfQidaLyx80ixZr66t
88,"Body Say","Demi Lovato",316307,https://open.spotify.com/track/7xrA11O07xo57Bbg6p4hck
89,"i hate u, i love u (feat. olivia o'brien)",gnash,315716,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
90,Capsize,FRENSHIP,311979,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
91,"La Gozadera","Gente De Zona",311344,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
92,"Deja Que Te Bese","Alejandro Sanz",311133,https://open.spotify.com/track/0s6yB0ZFl1LvYHAnGhXFga
93,Obsesionado,Farruko,301300,https://open.spotify.com/track/5Jt4zdXTd9y1zxihiNYQI1
94,"Sin Contrato",Maluma,295927,https://open.spotify.com/track/09S64DUkxIX9EwIaULu6yN
95,"Without Me",Eminem,295491,https://open.spotify.com/track/5pBvNeOAJ54zgd5lEOmM3b
96,Sugar,"Maroon 5",292450,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk
97,PILLOWTALK,ZAYN,292303,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
98,"How Deep Is Your Love","Calvin Harris",290882,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
99,"All In My Head (Flex)","Fifth Harmony",289663,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
100,"Caminar de Tu Mano","Río Roma",285377,https://open.spotify.com/track/7cCRlUf8ayOJtTlWN7g8Ni
101,"Bohemian Rhapsody - Remastered 2011",Queen,282940,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY
102,"Prometiste - MTV Unplugged [En Vivo]","Pepe Aguilar",281195,https://open.spotify.com/track/4UuVcf9nvpqyPsOk0P9oBH
103,"Tu Falta De Querer","Mon Laferte",279759,https://open.spotify.com/track/4skuEIloXWuxxgekKupkEH
104,Carnaval,Maluma,277144,https://open.spotify.com/track/1nO4EGuBjR75IGbFYzqPxO
105,"Can't Feel My Face","The Weeknd",274081,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
106,"Me Está Gustando","Banda Los Recoditos",273548,https://open.spotify.com/track/1PPswVdqYYvfBIk5MdB4Lo
107,"Pongámonos De Acuerdo","Julión Álvarez y su Norteño Banda",271052,https://open.spotify.com/track/3FhuPkzBM6VMLvc6rcer8v
108,"Hymn For The Weekend",Coldplay,270769,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
109,Gangsta,Kehlani,270571,https://open.spotify.com/track/1W7zkKgRv9mrLbfdQ8XyH3
110,"Baila Conmigo","Juan Magán",269619,https://open.spotify.com/track/772io14jrMTxGJbijtDccQ
111,"Wherever I Go",OneRepublic,266067,https://open.spotify.com/track/7kUtJKGZzLNgIkq1Galkt0
112,"What Do You Mean?","Justin Bieber",264665,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
113,Stitches,"Shawn Mendes",263491,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
114,"Amor Del Bueno","Calibre 50",263189,https://open.spotify.com/track/5ZyWRrIdTZx4TneEv0FklV
115,"Cheap Thrills Remix",Sia,260630,https://open.spotify.com/track/59iNA6gwthoTJ6IgpBGGHW
116,Hello,Adele,255936,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
117,Gold,Kiiara,254354,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
118,Traicionera,"Sebastian Yatra",252852,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
119,"Bailando - Spanish Version","Enrique Iglesias",251412,https://open.spotify.com/track/32lm3769IRfcnrQV11LO4E
